CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
104;LC;70179;C;20;0;;210.025;0.17269;0.21756;Azul;127;
94;LC;73873;D;7;0;;485.576;0.5469;0.15842;Cinza;126;0
107;LC;70179;C;20;0;;210.025;0.17269;0.21756;Amarelo;125;
138;MT;70183;A;1;0;;211.832;0.73515;0.18808;Rosa;132;
137;MT;70183;A;1;0;;211.832;0.73515;0.18808;Amarelo;129;
139;MT;70183;A;1;0;;211.832;0.73515;0.18808;Azul;131;
138;MT;72676;E;21;0;;296.492;202.812;0.0738;Cinza;130;
177;MT;70186;C;25;0;;241.428;0.72059;0.14558;Cinza;136;
145;MT;70193;D;16;0;;199.589;170.681;0.15544;Cinza;136;
167;MT;70194;B;24;0;;118.936;275.205;0.25776;Cinza;136;
160;MT;70198;D;16;0;;192.502;129.983;0.1805;Rosa;132;
163;MT;70198;D;16;0;;192.502;129.983;0.1805;Amarelo;129;
164;MT;70198;D;16;0;;192.502;129.983;0.1805;Azul;131;
139;MT;71649;E;5;0;;241.492;0.28863;0.31102;Cinza;130;
140;MT;72045;E;17;0;;269.266;152.176;0.11563;Cinza;130;
158;MT;70201;B;8;0;;1.63;290.487;0.21354;Amarelo;129;
155;MT;70201;B;8;0;;1.63;290.487;0.21354;Azul;131;
163;MT;70201;B;8;0;;1.63;290.487;0.21354;Rosa;132;
168;MT;70210;B;15;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;136;
141;MT;70407;B;12;0;;178.608;0.80144;0.18101;Cinza;130;
164;MT;70238;B;3;0;;274.865;147.857;0.21513;Amarelo;129;
161;MT;70238;B;3;0;;274.865;147.857;0.21513;Azul;131;
158;MT;70238;B;3;0;;274.865;147.857;0.21513;Rosa;132;
138;MT;70243;C;14;0;;231.628;0.68656;0.19073;Cinza;136;
111;LC;70252;C;18;0;;306.882;0.32086;0.20442;Cinza;135;
60;CN;70253;A;6;0;;252.119;133.878;0.11338;Azul;121;
59;CN;70253;A;6;0;;252.119;133.878;0.11338;Amarelo;122;
53;CN;75742;A;4;0;;141.684;-0.02949;0.09107;Branco;123;
61;CN;70253;A;6;0;;252.119;133.878;0.11338;Rosa;124;
1;CH;71129;A;26;0;;117.372;0.20972;0.03152;Branco;134;
54;CN;70278;C;17;0;;161.308;129.865;0.2812;Azul;121;
52;CN;70278;C;17;0;;161.308;129.865;0.2812;Rosa;124;
56;CN;70278;C;17;0;;161.308;129.865;0.2812;Amarelo;122;
54;CN;72204;B;2;0;;158.646;113.389;0.14651;Branco;123;
54;CN;76315;B;13;0;;219.653;21.097;0.15494;Branco;133;
88;CN;70302;C;30;0;;165.685;-180.092;0.09167;Amarelo;122;
89;CN;70302;C;30;0;;165.685;-180.092;0.09167;Rosa;124;
89;CN;70302;C;30;0;;165.685;-180.092;0.09167;Azul;121;
152;MT;70344;B;16;0;;138.737;178.343;0.14443;Cinza;136;
100;LC;70370;A;17;0;;189.235;-0.28099;0.14613;Amarelo;125;
101;LC;70370;A;17;0;;189.235;-0.28099;0.14613;Azul;127;
95;LC;75956;B;8;0;;17.956;0.70373;0.21008;Cinza;126;0
98;LC;70370;A;17;0;;189.235;-0.28099;0.14613;Rosa;128;
129;LC;70371;A;29;0;;301.701;-0.19313;0.18968;Cinza;135;
142;MT;71642;C;13;0;;180.059;14.011;0.1643;Cinza;130;
