"area";"exp";"ALETF45";"ALETF20";"ALEEP30";"ALEEP30RE015";"MIFTF45";"MIFTF20";"MIFEP30";"MIFEP30RE015";"PR-1TF45";"PR-1TF20";"PR-1EP30";"PR-1EP30RE015";"PR0TF45";"PR0TF20";"PR0EP30";"PR0EP30RE015";"PR1TF45";"PR1TF20";"PR1EP30";"PR1EP30RE015";"PR2TF45";"PR2TF20";"PR2EP30";"PR2EP30RE015"
"CN";"(0.25,0.3]";0;0;0;0;0,00534045393858478;0,00400534045393859;0,00267022696929239;0;0,134846461949266;0,0520694259012016;0,0987983978638184;0,0387182910547397;0,132176234979973;0,0587449933244326;0,0974632843791722;0,0307076101468625;0,0841121495327103;0,0320427236315087;0,0934579439252336;0,00934579439252336;0,0654205607476635;0,0106809078771696;0,0667556742323097;0
"CN";"(0.3,0.4]";0;0;0;0;0,0133511348464619;0,00667556742323097;0,0267022696929239;0,00934579439252336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CN";"(0.4,1]";0;0;0;0;0,0707610146862483;0,0280373831775701;0,0453938584779706;0,0186915887850467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LC";"0";0,113250283125708;0,191392978482446;0,118912797281993;0,231030577576444;0,728199320498301;0,851642129105323;0,835787089467724;0,884484711211778;0,548131370328426;0,714609286523216;0,600226500566251;0,723669309173273;0,559456398640997;0,719139297848245;0,644394110985277;0,722536806342016;0,212910532276331;0,506228765571914;0,565118912797282;0,621744054360136;0,161947904869762;0,365798414496036;0,323895809739524;0,357870894677237
"LC";"(0,0.02]";0,10079275198188;0,404303510758777;0,14722536806342;0,490373725934315;0,057757644394111;0,0328425821064553;0,0520951302378256;0,0305775764439411;0,150622876557191;0,143827859569649;0,218573046432616;0,160815402038505;0,141562853907135;0,134767836919592;0,197055492638732;0,161947904869762;0,317100792751982;0,285390713476784;0,2559456398641;0,235560588901472;0,272933182332956;0,407701019252548;0,402038505096263;0,43035107587769
"LC";"(0.02,0.05]";0,35673839184598;0,346545866364666;0,421291053227633;0,262740656851642;0,0362400906002265;0,0305775764439411;0,029445073612684;0,0237825594563986;0,0679501698754247;0,0271800679501699;0,0679501698754247;0,0453001132502831;0,0588901472253681;0,0362400906002265;0,0532276330690827;0,0385050962627407;0,221970554926387;0,0951302378255946;0,0668176670441676;0,0622876557191393;0,293318233295583;0,122310305775764;0,165345413363533;0,149490373725934
"LC";"(0.05,0.1]";0,374858437146093;0,057757644394111;0,296715741789354;0,0158550396375991;0,0385050962627407;0,029445073612684;0,0305775764439411;0,0192525481313703;0,057757644394111;0,0260475651189128;0,0362400906002265;0,0124575311438279;0,0543601359003398;0,029445073612684;0,0362400906002265;0,0237825594563986;0,105322763306908;0,0543601359003398;0,0385050962627407;0,0317100792751982;0,152887882219706;0,0588901472253681;0,0532276330690827;0,0396375990939977
"LC";"(0.1,0.15]";0,0520951302378256;0;0,014722536806342;0;0,0237825594563986;0,0135900339750849;0,0169875424688562;0,0113250283125708;0,0328425821064553;0,0317100792751982;0,0215175537938845;0,0215175537938845;0,0396375990939977;0,0237825594563986;0,0181200453001133;0,0135900339750849;0,0407701019252548;0,0203850509626274;0,0271800679501699;0,0203850509626274;0,043035107587769;0,0169875424688562;0,0339750849377123;0,0181200453001133
"LC";"(0.15,0.2]";0,00226500566251416;0;0,00113250283125708;0;0,0260475651189128;0,00679501698754247;0,00792751981879955;0,00453001132502831;0,0271800679501699;0,0192525481313703;0,0158550396375991;0,00566251415628539;0,028312570781427;0,0135900339750849;0,0124575311438279;0,0113250283125708;0,028312570781427;0,0124575311438279;0,0101925254813137;0,00906002265005663;0,0226500566251416;0,0113250283125708;0,00679501698754247;0,00453001132502831
"LC";"(0.2,0.25]";0;0;0;0;0,0158550396375991;0,00792751981879955;0,00566251415628539;0,00566251415628539;0,0181200453001133;0,0101925254813137;0,0124575311438279;0,00679501698754247;0,0271800679501699;0,0113250283125708;0,0113250283125708;0,00679501698754247;0,0203850509626274;0,0113250283125708;0,014722536806342;0,00792751981879955;0,014722536806342;0,0124575311438279;0,00679501698754247;0
"LC";"(0.25,0.3]";0;0;0;0;0,00679501698754247;0,00453001132502831;0,00226500566251416;0,00339750849377123;0,0973952434881087;0,0271800679501699;0,0271800679501699;0,0237825594563986;0,0906002265005662;0,0317100792751982;0,0271800679501699;0,0215175537938845;0,0532276330690827;0,014722536806342;0,0215175537938845;0,0113250283125708;0,0385050962627407;0,00453001132502831;0,00792751981879955;0
"LC";"(0.3,0.4]";0;0;0;0;0,0317100792751982;0,00566251415628539;0,00566251415628539;0,00339750849377123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LC";"(0.4,1]";0;0;0;0;0,0351075877689694;0,0169875424688562;0,0135900339750849;0,0135900339750849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MT";"0";0,109848484848485;0,156565656565657;0,106060606060606;0,208333333333333;0,722222222222222;0,875;0,832070707070707;0,906565656565657;0,428030303030303;0,707070707070707;0,150252525252525;0,714646464646465;0,424242424242424;0,712121212121212;0,15530303030303;0,718434343434343;0,174242424242424;0,458333333333333;0,22979797979798;0,476010101010101;0,132575757575758;0,338383838383838;0,122474747474747;0,241161616161616
"MT";"(0,0.02]";0,0404040404040404;0,373737373737374;0,0189393939393939;0,481060606060606;0,143939393939394;0,0656565656565657;0,0454545454545455;0,0454545454545455;0,243686868686869;0,161616161616162;0,263888888888889;0,167929292929293;0,253787878787879;0,151515151515152;0,276515151515151;0,167929292929293;0,248737373737374;0,357323232323232;0,268939393939394;0,366161616161616;0,223484848484848;0,440656565656566;0,200757575757576;0,462121212121212
"MT";"(0.02,0.05]";0,303030303030303;0,39520202020202;0,15530303030303;0,291666666666667;0,0328282828282828;0,0151515151515152;0,0126262626262626;0,0126262626262626;0,103535353535354;0,0277777777777778;0,319444444444444;0,0366161616161616;0,0858585858585859;0,0277777777777778;0,311868686868687;0,0328282828282828;0,316919191919192;0,0795454545454545;0,222222222222222;0,0732323232323232;0,347222222222222;0,125;0,33459595959596;0,247474747474747
"MT";"(0.05,0.1]";0,491161616161616;0,0744949494949495;0,546717171717172;0,0176767676767677;0,0138888888888889;0,00757575757575758;0,00883838383838384;0,00757575757575758;0,0404040404040404;0,0113636363636364;0,10479797979798;0,0202020202020202;0,0517676767676768;0,023989898989899;0,0909090909090909;0,0227272727272727;0,132575757575758;0,0404040404040404;0,102272727272727;0,0416666666666667;0,176767676767677;0,0391414141414141;0,17550505050505;0,0467171717171717
"MT";"(0.1,0.15]";0,0555555555555556;0;0,15530303030303;0,00126262626262626;0,00757575757575758;0;0,00378787878787879;0;0,0252525252525253;0,0189393939393939;0,0265151515151515;0,0113636363636364;0,0353535353535354;0,0164141414141414;0,0366161616161616;0,0101010101010101;0,0189393939393939;0,0151515151515152;0,029040404040404;0,0138888888888889;0,0353535353535354;0,0202020202020202;0,0454545454545455;0,00252525252525253
"MT";"(0.15,0.2]";0;0;0,0176767676767677;0;0,00757575757575758;0,00505050505050505;0,00378787878787879;0,00126262626262626;0,0202020202020202;0,0151515151515152;0,0189393939393939;0,0101010101010101;0,0101010101010101;0,00883838383838384;0,0202020202020202;0,00631313131313131;0,0189393939393939;0,0126262626262626;0,0202020202020202;0,00883838383838384;0,0151515151515152;0,0101010101010101;0,023989898989899;0
"MT";"(0.2,0.25]";0;0;0;0;0;0;0;0;0,0164141414141414;0,0101010101010101;0,0176767676767677;0,00505050505050505;0,0151515151515152;0,0101010101010101;0,0151515151515152;0,00883838383838384;0,0189393939393939;0,00883838383838384;0,0265151515151515;0,00378787878787879;0,0126262626262626;0,00378787878787879;0,0202020202020202;0
"MT";"(0.25,0.3]";0;0;0;0;0;0,00126262626262626;0,00252525252525253;0,00252525252525253;0,122474747474747;0,047979797979798;0,0972222222222222;0,0340909090909091;0,123737373737374;0,0492424242424242;0,0921717171717172;0,0328282828282828;0,0707070707070707;0,0277777777777778;0,101010101010101;0,0164141414141414;0,0568181818181818;0,0227272727272727;0,077020202020202;0
"MT";"(0.3,0.4]";0;0;0;0;0,0101010101010101;0,00505050505050505;0,0138888888888889;0,00378787878787879;0;0;0,00126262626262626;0;0;0;0,00126262626262626;0;0;0;0;0;0;0;0;0
"MT";"(0.4,1]";0;0;0;0;0,0618686868686869;0,0252525252525253;0,077020202020202;0,0202020202020202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
