"area";"mean.a";"mean.b";"mean.c";"sd.a";"sd.b";"sd.c";"n"
"CH";2,21708097496706;1,14375992094862;0,175456495388669;0,941368977207898;0,764742982596679;0,0652867546911108;759
"CN";2,41377409574468;1,39621892287234;0,173725026595745;1,0018359524861;2,32005010590792;0,0699677382341877;752
"LC";2,1754537740113;0,819284406779661;0,164111480225989;0,879885530880286;0,845981505197091;0,0693443006672044;885
"MT";2,0929930875;1,9918247625;0,16239755;0,793210261911427;1,31923375845735;0,0597974224227768;800
