"area";"selection";"stop";"NIA";"MIA";"min_length";"max_length";"SE";"correlation";"RMSE";"bias";"min_exp";"max_exp";"n_exp0";"n_exp_rmax";"overlap"
"LC";"PR-1";"TF45";45;45;45;45;0,165952298388224;0,858861279248099;0,529459573874653;0,31707880895373;0;0,3003663003663;172;19;0,213667328767044
"LC";"PR-1";"TF20";20;20;20;20;0,221251638481491;0,86139163317141;0,466752486838467;0,229167262849714;0;0,3003663003663;265;4;0,177458886250095
"LC";"PR-1";"EP30";17,6678876678877;15;15;60;0,231082002031048;0,851500755174653;0,448513437802829;0,200057900094686;0;0,3003663003663;180;2;0,152883697735114
"LC";"PR-1";"EP30RE015";15,0586080586081;15;15;18;0,245223042371479;0,849602404360557;0,46554081640476;0,196907165607205;0;0,3003663003663;230;3;0,157816066110885
"LC";"PR0";"TF45";45;45;45;45;0,1684243944091;0,866386606262308;0,53503876337132;0,326461849066286;0;0,3003663003663;174;27;0,2135596567017
"LC";"PR0";"TF20";20;20;20;20;0,221077795465475;0,8354978303469;0,488915332798803;0,218034235657961;0;0,3003663003663;234;6;0,176380558798141
"LC";"PR0";"EP30";17,7240537240537;15;15;60;0,233487593267584;0,828825015345117;0,48478843257058;0,226764678358225;0;0,3003663003663;173;4;0,155586139465996
"LC";"PR0";"EP30RE015";15,0744810744811;15;15;19;0,244718196778333;0,85193704234052;0,451276595160536;0,190761843728007;0;0,3003663003663;235;2;0,160061926302004
"LC";"PR1";"TF45";45;45;45;45;0,166421850753977;0,899002108764035;0,405307014390358;0,217670796347607;0,00122100122100122;0,3003663003663;0;5;0,14810676894519
"LC";"PR1";"TF20";20;20;20;20;0,217270120573153;0,897350406697401;0,327951948875114;0,0975771474338845;0;0,296703296703297;37;0;0,11117059578598
"LC";"PR1";"EP30";17,3833943833944;15;15;60;0,230486368710505;0,865414766957031;0,399107036714638;0,131653029461849;0;0,299145299145299;90;0;0,123506370398272
"LC";"PR1";"EP30RE015";15,0891330891331;15;15;19;0,248136603665931;0,865199637590719;0,412484875041363;0,148546385789913;0;0,299145299145299;135;0;0,124823118835095
